"DateTime","Average","Sweet Water Foundation A","Sweet Water Foundation B","BurrRidge01 A","BurrRidge01 B"
"2026-07-22 00:00:00",,4,6,2,9
"2026-07-22 01:00:00",,2,3,0,6
"2026-07-22 02:00:00",,2,2,0,4
"2026-07-22 03:00:00",,2,3,0,3
"2026-07-22 04:00:00",,3,3,1,3
"2026-07-22 05:00:00",,2,3,2,4
"2026-07-22 06:00:00",,5,6,3,4
"2026-07-22 07:00:00",,7,10,3,5
"2026-07-22 08:00:00",,6,8,4,7
"2026-07-22 09:00:00",,4,5,4,7
"2026-07-22 10:00:00",,4,4,2,8
"2026-07-22 11:00:00",,2,2,3,11
"2026-07-22 12:00:00",,4,6,5,14
"2026-07-22 13:00:00",,7,8,9,19
"2026-07-22 14:00:00",,8,9,17,28
"2026-07-22 15:00:00",,12,11,17,28
"2026-07-22 16:00:00",,9,11,17,28
"2026-07-22 17:00:00",,11,11,12,21
"2026-07-22 18:00:00",,9,8,13,23
"2026-07-22 19:00:00",,10,13,24,35
"2026-07-22 20:00:00",,14,17,16,27
"2026-07-22 21:00:00",,16,19,21,32
"2026-07-22 22:00:00",,16,18,28,38
"2026-07-22 23:00:00",,21,21,26,35
"2026-07-23 00:00:00",,32,34,28,38
"2026-07-23 01:00:00",,39,45,31,41
"2026-07-23 02:00:00",,45,50,37,49
"2026-07-23 03:00:00",,46,52,39,52
"2026-07-23 04:00:00",,49,53,43,52
"2026-07-23 05:00:00",,48,53,42,53
"2026-07-23 06:00:00",,53,55,42,53
"2026-07-23 07:00:00",,60,63,34,46
"2026-07-23 08:00:00",,57,60,23,32
"2026-07-23 09:00:00",,31,34,16,26
"2026-07-23 10:00:00",,17,21,18,30
"2026-07-23 11:00:00",,13,16,22,34
"2026-07-23 12:00:00",,19,33,22,36
"2026-07-23 13:00:00",,29,41,23,34
"2026-07-23 14:00:00",,16,23,23,35
"2026-07-23 15:00:00",,16,26,29,40
"2026-07-23 16:00:00",,16,27,28,41
"2026-07-23 17:00:00",,13,15,41,53
"2026-07-23 18:00:00",,14,15,49,56
"2026-07-23 19:00:00",,19,26,49,57
"2026-07-23 20:00:00",,28,34,48,57
"2026-07-23 21:00:00",,36,42,49,56
"2026-07-23 22:00:00",,37,42,48,57
"2026-07-23 23:00:00",,38,44,47,57
"2026-07-24 00:00:00",,47,52,48,57
"2026-07-24 01:00:00",,52,55,49,56
"2026-07-24 02:00:00",,53,56,49,56
"2026-07-24 03:00:00",,53,56,51,56
"2026-07-24 04:00:00",,51,55,51,57
"2026-07-24 05:00:00",,50,54,48,55
"2026-07-24 06:00:00",,48,52,48,55
"2026-07-24 07:00:00",,45,51,42,53
"2026-07-24 08:00:00",,44,49,46,55
"2026-07-24 09:00:00",,41,47,44,55
"2026-07-24 10:00:00",91.5,28,34,36,52
